"folder"	"A2"	"B2"	"Z"	"o"	"h2"	"cf"	"cm"	"dsm"	"df"	"dm"	"alpha"	"recomb"	"recomb"	"a"	"b"	"v"	"gen"	"printgen"	"range1"	"range2"	"inc1"	"inc2"	"pert"	"pertamt"	"pertgen"	"Zoff"	"dA2"	"sfert"
1500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1500001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1500010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1500011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1500100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1500101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1500110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1500111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1501111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510000	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510001	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510010	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510011	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510100	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510101	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510110	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1510111	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511000	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511001	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511010	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511011	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511100	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511101	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511110	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
1511111	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2500111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2501111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510000	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510001	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510010	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510011	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510100	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510101	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510110	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2510111	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511000	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511001	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511010	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511011	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511100	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511101	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511110	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
2511111	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
12500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0	0
22500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.0001	0
31500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31500001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31500010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31500011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31500100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31500101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31500110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31500111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31501111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510000	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510001	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510010	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510011	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510100	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510101	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510110	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31510111	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511000	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511001	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511010	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511011	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511100	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511101	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511110	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
31511111	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32500111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32501111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510000	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510001	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510010	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510011	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510100	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510101	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510110	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32510111	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511000	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511001	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511010	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511011	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511100	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511101	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511110	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
32511111	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
33500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.001	0
42500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	0	0.01	0
51500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	10000	0	0	0
53500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	10000	0	0	0
55500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	1	0	0	0
84500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	500	0	0.001	0
85500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	1	0	0.001	0
94500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	500	0	0.01	0
154500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	500	0	0	0.01
155500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	1	0	0	0.01
184500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	500	0	0.001	0.01
185500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	1	0	0.001	0.01
254500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	500	0	0	0.5
284500000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	40	40	1	0.001	500	0	0.001	0.5
